醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
2343330014,屏東縣牡丹鄉衛生所,屏東縣牡丹鄉石門村19號,(08)8831013,758,244,2020/02/13 17:58:35
2344011036,澎湖縣馬公市第三衛生所,澎湖縣馬公市西文里118之2號,(06)9211723,146,218,2020/02/13 17:58:35
2344030013,澎湖縣白沙鄉衛生所,澎湖縣白沙鄉赤崁村359號,(06)9931044,14,126,2020/02/13 17:58:35
2344030022,澎湖縣白沙鄉鳥嶼衛生所,澎湖縣白沙鄉鳥嶼村漁港新村3號,(06)9916092,704,276,2020/02/13 17:58:35
2344030031,澎湖縣白沙鄉吉貝衛生所,澎湖縣白沙鄉吉貝村8－13號,(06)9911430,670,280,2020/02/13 17:58:35
2344050015,澎湖縣望安鄉衛生所,澎湖縣望安鄉西安村36－7號,(06)9991036,286,330,2020/02/13 17:58:35
2344050024,澎湖縣望安鄉將軍衛生所,澎湖縣望安鄉將軍村12鄰將軍澳1之3號,(06)9902066,944,354,2020/02/13 17:58:35
2344060011,澎湖縣七美鄉衛生所,澎湖縣七美鄉中和村埔內54號,(06)9971005,0,212,2020/02/13 17:58:35
2345100014,花蓮縣富里鄉衛生所,花蓮縣富里鄉富里村中山路203號,(03)8831029,0,148,2020/02/13 17:58:35
2345110010,花蓮縣秀林鄉衛生所,花蓮縣秀林鄉秀林村12鄰秀林路88號,(03)8612122,4,0,2020/02/13 17:58:35
2345120016,花蓮縣萬榮鄉衛生所,花蓮縣萬榮鄉萬榮村12號,(03)8751651,205,227,2020/02/13 17:58:35
2345130012,花蓮縣卓溪鄉衛生所,花蓮縣卓溪鄉卓溪村中正路65號,(03)8882592,213,165,2020/02/13 17:58:35
2346050013,台東縣大武鄉衛生所,台東縣大武鄉大武村濱海路100號,(089)791325,78,104,2020/02/13 17:58:35
2346070015,台東縣東河鄉衛生所,台東縣東河鄉東河村南東河路10鄰300號,(089)896289,53,182,2020/02/13 17:58:35
2346110014,台東縣綠島鄉衛生所,台東縣綠島鄉中寮村1－1號,(089)672511,74,189,2020/02/13 17:58:35
2346120010,台東縣延平鄉衛生所,台東縣延平鄉桃源村昇平路11號,(089)561040,565,224,2020/02/13 17:58:35
2346130016,台東縣海端鄉衛生所,台東縣海端鄉海端村3鄰29號,(089)931391,0,102,2020/02/13 17:58:35
2346140012,台東縣達仁鄉衛生所,台東縣達仁鄉安朔村復興路122號,(089)702209,918,318,2020/02/13 17:58:35
2346150018,台東縣金峰鄉衛生所,台東縣金峰鄉賓茂村1鄰14號,(089)772201,803,240,2020/02/13 17:58:35
2346160014,台東縣蘭嶼鄉衛生所,台東縣蘭嶼鄉紅頭村36號,(089)732575,1010,332,2020/02/13 17:58:35
2390040518,金門縣金寧鄉衛生所,金門縣金寧鄉盤山村仁愛新屯2之1號,(082)325735,0,38,2020/02/13 17:58:35
2390050032,金門縣烈嶼鄉衛生所,金門縣烈嶼鄉西口村西方6－5號,(082)362078,0,80,2020/02/13 17:58:35
2391020010,連江縣北竿鄉衛生所,連江縣北竿鄉塘岐村25號,(083)655592,284,182,2020/02/13 17:58:35
2391030016,連江縣莒光鄉西莒衛生所,連江縣莒光鄉青帆村14－1號,(083)689122,1391,404,2020/02/13 17:58:35
2391030026,連江縣莒光鄉東莒衛生所,連江縣莒光鄉大坪村30－1號,(083)689038,1025,368,2020/02/13 17:58:35
2391040012,連江縣東引鄉衛生所,連江縣東引鄉中柳村123號,(083)677206,904,350,2020/02/13 17:58:35
5901010058,安郁藥局,台北市松山區八德路3段12巷51弄16號1樓,(02)25774551,0,112,2020/02/13 17:58:35
5901010076,榮星藥局,台北市松山區南京東路4段133巷5弄1號,(02)27124696,1,1,2020/02/13 17:58:35
5901010085,安世藥局,台北市松山區南京東路4段133巷5弄9號,(02)27133405,0,28,2020/02/13 17:58:35
5901010094,明一藥局,台北市松山區南京東路5段59巷28弄25號1樓,(02)27691654,6,84,2020/02/13 17:58:35
5901010165,傑安藥局,台北市松山區八德路2段437巷7弄8號1樓,(02)27524155,0,108,2020/02/13 17:58:35
5901010174,仁弘藥局,台北市松山區民生東路3段113巷25弄6號1樓,(02)27136764,6,44,2020/02/13 17:58:35
5901010192,益華藥局,台北市松山區民生東路5段138巷6號,(02)27624898,0,44,2020/02/13 17:58:35
5901010272,德靈藥局,台北市松山區富錦街548號,(02)27646998,0,120,2020/02/13 17:58:35
5901010290,健全藥局,台北市松山區民權東路3段103巷20號,(02)27128293,0,76,2020/02/13 17:58:35
5901010496,瑞昌大藥局,台北市松山區民權東路3段103巷10號,(02)27151881,0,76,2020/02/13 17:58:35
5901010576,合生藥局,台北市松山區南京東路5段123巷45號1樓,(02)27602932,0,40,2020/02/13 17:58:35
5901011662,上允藥局,台北市松山區民生東路5段78號,(02)27696905,80,200,2020/02/13 17:58:35
5901011699,建東大藥局,台北市松山區三民路97號1樓,(02)27676237,0,110,2020/02/13 17:58:35
5901011733,和諧藥局,台北市松山區民生東路5段148號2樓,(02)27568580,0,164,2020/02/13 17:58:35
5901011760,延壽藥局,台北市松山區延壽街327號,(02)27685159,0,162,2020/02/13 17:58:35
5901011975,萬泰藥局,台北市松山區敦化北路222巷38號,(02)27135891,4,22,2020/02/13 17:58:35
5901012203,博荃藥局,台北市松山區敦化北路4巷51號,(02)27316736,0,78,2020/02/13 17:58:35
5901012383,德川中西藥局,台北市松山區八德路4段96號,(02)27683399,0,152,2020/02/13 17:58:35
5901012409,家音藥局,台北市松山區民生東路5段73號,(02)37652080,6,28,2020/02/13 17:58:35
5901012454,敦北藥局,台北市松山區民生東路4段80巷5號,(02)27155691,0,130,2020/02/13 17:58:35
5901012490,中美藥局,台北市松山區富錦街531號,(02)27627468,0,77,2020/02/13 17:58:35
5901012507,康麗藥局,台北市松山區南京東路3段303巷20號,(02)27174117,0,36,2020/02/13 17:58:35
5901012516,惠登藥局,台北市松山區民生東路3段130巷34號,(02)25472432,0,61,2020/02/13 17:58:35
5901012561,松田藥局,台北市松山區延吉街9－6號,(02)25798005,0,94,2020/02/13 17:58:35
5901012570,予志藥局,台北市松山區富錦街521號,(02)27623522,0,39,2020/02/13 17:58:35
5901012598,婕登藥局,台北市松山區八德路4段699號,(02)27482893,6,13,2020/02/13 17:58:35
5901012632,晨安藥局,台北市松山區八德路3段155巷20弄2號,(02)25798460,1,48,2020/02/13 17:58:35
5901012650,銘德藥局,台北市松山區八德路2段366巷28號,(02)27511833,2,112,2020/02/13 17:58:35
5901012669,政昇藥局,台北市松山區南京東路5段356號13樓,(02)27560286,0,224,2020/02/13 17:58:35
5901012712,立康大藥局,台北市松山區八德路四段2－1號,(02)27471749,0,2,2020/02/13 17:58:35
5901012749,躍獅松和藥局,台北市松山區八德路四段666－1號,(02)27492569,2,136,2020/02/13 17:58:35
5901012758,京東藥局,台北市松山區南京東路五段272號,(02)27679503,0,78,2020/02/13 17:58:35
5901012767,晨新藥局,台北市松山區八德路4段91巷1－1號,(02)27422951,0,2,2020/02/13 17:58:35
5901012963,綠之家藥局,台北市松山區延壽街428號,(02)25289595,0,2,2020/02/13 17:58:35
5901013004,德安藥局,台北市松山區八德路3段195號2樓,(02)25782670,0,152,2020/02/13 17:58:35
5901013095,康采藥局,台北市松山區南京東路5段291巷17－2號,(02)27670271,214,351,2020/02/13 17:58:35
5901013120,誠康中西藥局,台北市松山區南京東路5段59巷31弄43號,(02)27619679,8,79,2020/02/13 17:58:35
5901013139,慶昌藥局,台北市松山區延吉街29號,(02)25770820,0,83,2020/02/13 17:58:35
5901013157,西松健康人生藥局,台北市松山區南京東路5段291巷7號,(02)27687807,0,30,2020/02/13 17:58:35
5901013200,專品南京藥局,台北市松山區南京東路4段73號,(02)25147685,0,71,2020/02/13 17:58:35
5901013246,芝欣藥局,台北市松山區八德路3段148號,(02)25706677,0,64,2020/02/13 17:58:35
5901013264,佑翔藥局,台北市松山區民生東路5段95號,(02)87875050,0,204,2020/02/13 17:58:35
5901013308,立赫敦北藥局,台北市松山區敦化北路222巷20號,(02)27199277,30,34,2020/02/13 17:58:35
5901013326,富景藥局,台北市松山區三民路145號,(02)27455666,0,16,2020/02/13 17:58:35
5901013344,健康活力藥師藥局,台北市松山區民生東路5段219號,(02)27455556,0,112,2020/02/13 17:58:35
5901013362,啄木鳥藥局,台北市松山區八德路4段209號、211號（1、2層）,(02)27422413,0,62,2020/02/13 17:58:35
5901013371,玖田藥局,台北市松山區八德路4段655號,(02)27666578,0,200,2020/02/13 17:58:35
5901013380,澄馨藥局,台北市松山區三民路37號,(02)27420159,3,100,2020/02/13 17:58:35
5901013399,一安正昇藥局,台北市松山區南京東路5段348號,(02)27680993,98,82,2020/02/13 17:58:35
5901013406,美優康藥局,台北市松山區民生東路4段117之1號,(02)27152319,0,100,2020/02/13 17:58:35
5901013433,杏一延吉藥局,台北市松山區延吉街32號,(02)25798450,0,34,2020/02/13 17:58:35
5901013442,松山八德藥局,台北市松山區八德路2段400號,(02)27782773,0,198,2020/02/13 17:58:35
5901013451,新德大藥局,台北市松山區饒河街204號,(02)27673402,0,208,2020/02/13 17:58:35
5901013460,光點延新藥局,台北市松山區延壽街101號,(02)27667795,0,50,2020/02/13 17:58:35
5901013488,欣生藥局,台北市松山區民生東路5段138巷1號,(02)27567611,46,210,2020/02/13 17:58:35
5901013497,民生盛康藥局,台北市松山區民生東路5段204號,(02)27460758,24,106,2020/02/13 17:58:35
5901013513,立赫民生藥局,台北市松山區民生東路4段68號,(02)27139200,34,54,2020/02/13 17:58:35
5901013522,大樹松山藥局,台北市松山區民生東路5段107號,(02)27562226,0,88,2020/02/13 17:58:35
5901020296,百立藥局,台北市大安區和平東路3段228巷66號1樓,(02)27327211,6,189,2020/02/13 17:58:35
5901020303,宏恩藥局,台北市大安區大安路1段181號,(02)27000956,2,116,2020/02/13 17:58:35
5901020376,靜園藥局,台北市大安區和平東路2段118巷57之1號,(02)27336390,2,119,2020/02/13 17:58:35
5901020385,延吉大藥局,台北市大安區延吉街153號1樓,(02)27819227,0,78,2020/02/13 17:58:35
5901020465,杏友藥局,台北市大安區復興南路2段151巷25號,(02)27079451,0,82,2020/02/13 17:58:35
5901020554,師大藥局,台北市大安區師大路99號1樓,(02)23623479,0,6,2020/02/13 17:58:35
5901020563,施寶藥局,台北市大安區安東街50－5號1樓,(02)27114175,0,24,2020/02/13 17:58:35
5901020590,燕福藥局,台北市大安區羅斯福路3段283巷14弄14號之3,(02)23627307,0,124,2020/02/13 17:58:35
5901020616,龍護大藥局,台北市大安區大安路1段224巷7號1Ｆ,(02)23250686,0,114,2020/02/13 17:58:35
5901020634,新廣生藥局,台北市大安區仁愛路4段34號,(02)27071221,5,101,2020/02/13 17:58:35
5901020652,寶德藥局,台北市大安區樂利路105號1Ｆ,(02)27364240,0,54,2020/02/13 17:58:35
5901020661,泰佑藥局,台北市大安區安和路2段72號1Ｆ,(02)27056841,0,72,2020/02/13 17:58:35
5901020670,杏安堂藥局,台北市大安區忠孝東路4段77巷30號1樓,(02)27517636,0,217,2020/02/13 17:58:35
5901020689,四維藥局,台北市大安區復興南路2段151巷43號1樓,(02)27094222,80,184,2020/02/13 17:58:35
5901020698,羅斯福藥局,台北市大安區羅斯福路3段283巷9弄3號,(02)23699606,0,72,2020/02/13 17:58:35
5901020732,赫慶藥局,台北市大安區瑞安街208巷11弄5號1樓,(02)27063497,0,90,2020/02/13 17:58:35
5901020787,吉成藥局,台北市大安區泰順街7號,(02)23636475,10,67,2020/02/13 17:58:35
5901020858,順天堂藥局,台北市大安區龍泉街96號,(02)23627149,0,48,2020/02/13 17:58:35
5901020876,大興藥局,台北市大安區通化街39巷50弄15號1樓,(02)27053369,0,86,2020/02/13 17:58:35
5901020901,辰安藥局,台北市大安區大安路1段31巷28號,(02)27119536,2,192,2020/02/13 17:58:35
5901021248,永誠藥局,台北市大安區忠孝東路4段216巷25之1號,(02)27520273,0,2,2020/02/13 17:58:35
5901021346,正昌藥局,台北市大安區通化街38巷9號1樓,(02)27540070,0,90,2020/02/13 17:58:35
5901021382,建如藥局,台北市大安區和平東路3段228巷11號1Ｆ,(02)27331456,0,10,2020/02/13 17:58:35
5901021408,生百藥局,台北市大安區臨江街124號,(02)27371011,0,152,2020/02/13 17:58:35
5901022521,台安藥局,台北市大安區和平東路2段353號1樓,(02)27549099,18,58,2020/02/13 17:58:35
5901022601,生光藥局,台北市大安區忠孝東路3段248巷2號,(02)27780862,0,70,2020/02/13 17:58:35
5901022898,永康藥局,台北市大安區麗水街6之2號,(02)23279362,0,32,2020/02/13 17:58:35
5901023073,世中欣藥局,台北市大安區永康街2巷8號,(02)23938947,0,168,2020/02/13 17:58:35
5901023091,加豐藥局,台北市大安區忠孝東路3段216巷3弄1號1樓,(02)27219678,136,308,2020/02/13 17:58:35
5901023153,崇光藥局,台北市大安區忠孝東路3段305號7樓之3,(02)27217958,0,222,2020/02/13 17:58:35
5901023215,大愛健康藥局,台北市大安區敦化南路2段63巷65號,(02)27092156,0,194,2020/02/13 17:58:35
5901023313,安和藥局,台北市大安區安和路1段102巷3號,(02)27092349,18,164,2020/02/13 17:58:35
5901023331,佑安藥局,台北市大安區延吉街233巷9號,(02)27069339,0,224,2020/02/13 17:58:35
5901023386,弘昇藥局,台北市大安區復興南路1段107巷32號,(02)27110061,42,136,2020/02/13 17:58:35
5901023411,長虹藥局,台北市大安區忠孝東路4段216巷 63號,(02)27210232,0,32,2020/02/13 17:58:35
5901023519,惠盈藥局,台北市大安區辛亥路2段171巷31號,(02)87321366,0,126,2020/02/13 17:58:35
5901023523,聯合仁愛藥局,台北市大安區大安路1段157巷3號,(02)27039269,0,132,2020/02/13 17:58:35
5901023591,一心藥局,台北市大安區和平東路3段238號,(02)27321818,0,102,2020/02/13 17:58:35
5901023653,信安健康藥局,台北市大安區仁愛路4段122巷58號,(02)27084858,0,41,2020/02/13 17:58:35
5901023680,新富川藥局,台北市大安區大安路1段51巷4號,(02)27114758,18,120,2020/02/13 17:58:35
5901023706,聖英藥局,台北市大安區仁愛路4段266巷15弄18號,(02)27055851,0,198,2020/02/13 17:58:35
5901023724,元氣生活健保藥局,台北市大安區新生南路1段161巷10號,(02)27060580,0,88,2020/02/13 17:58:35
5901023831,康乃馨藥局,台北市大安區建國南路1段327號,(02)23257097,0,72,2020/02/13 17:58:35
5901023886,世康藥局,台北市大安區延吉街246號,(02)27015758,30,30,2020/02/13 17:58:35
5901023902,惠良藥局,台北市大安區和平東路3段93－1號,(02)27387872,0,106,2020/02/13 17:58:35
5901023966,愛維康生活藥局,台北市大安區四維路170巷21號,(02)27059791,0,12,2020/02/13 17:58:35
5901024098,杏一瑞安藥局,台北市大安區瑞安街208巷11弄1號,(02)27096710,0,76,2020/02/13 17:58:35
5901024114,好安心藥局,台北市大安區和平東路2段98之2號,(02)23772166,0,10,2020/02/13 17:58:35
5901024123,中山樂方藥局,台北市大安區仁愛路4段112巷12號,(02)27050622,36,58,2020/02/13 17:58:35
5901024178,天康忠孝藥局,台北市大安區忠孝東路3段223－1號,(02)77137763,0,99,2020/02/13 17:58:35
5901024212,中力信義藥局,台北市大安區信義路4段51號,(02)23250266,0,141,2020/02/13 17:58:35
5901024221,安居藥局,台北市大安區安居街19號,(02)23773537,0,122,2020/02/13 17:58:35
5901024310,躍獅新生藥局,台北市大安區和平東路2段20號,(02)23623367,0,68,2020/02/13 17:58:35
5901024347,博大藥局,台北市大安區安和路2段65號,(02)27027858,0,20,2020/02/13 17:58:35
5901024427,博昱仁愛藥局,台北市大安區仁愛路4段65號,(02)87739258,2,0,2020/02/13 17:58:35
5901024472,忠孝康承健保藥局,台北市大安區復興南路1段107巷4號,(02)87733378,0,92,2020/02/13 17:58:35
5901024481,微笑藥師藥局,台北市大安區信義路3段31巷4號,(02)27009655,8,20,2020/02/13 17:58:35
5901024525,國泰維康藥局,台北市大安區仁愛路4段266巷15弄20號,(02)27542185,0,130,2020/02/13 17:58:35
5901024543,奇威藥局,台北市大安區雲和街93號,(02)23651110,0,76,2020/02/13 17:58:35
5901024632,艾登安和藥局,台北市大安區安和路1段123號,(02)27015201,0,34,2020/02/13 17:58:35
5901024669,百岳藥局,台北市大安區和平東路2段311巷11號,(02)27551037,0,154,2020/02/13 17:58:35
5901024678,大安健康人生藥局,台北市大安區信義路4段34號,(02)27025553,0,84,2020/02/13 17:58:35
5901024696,仁華藥局,台北市大安區臥龍街155號,(02)27336762,198,174,2020/02/13 17:58:35
5901024703,吾家藥局,台北市大安區信義路4段265巷6之1號,(02)27066425,0,52,2020/02/13 17:58:35
5901024712,早安藥局,台北市大安區建國南路2段151巷42號,(02)27002209,0,50,2020/02/13 17:58:35
5901024721,麗泰藥局,台北市大安區復興南路2段151巷4號,(02)27079595,0,88,2020/02/13 17:58:35
5901024758,兆安健保藥局,台北市大安區通化街139號,(02)27363069,0,91,2020/02/13 17:58:35
5901024767,杏一樂業藥局,台北市大安區樂業街162號,(02)27383194,0,110,2020/02/13 17:58:35
5901024810,博興藥局,台北市大安區四維路198巷28號,(02)23256668,4,58,2020/02/13 17:58:35
5901024829,威康藥局,台北市大安區和平東路2段255之1號,(02)27061149,0,2,2020/02/13 17:58:35
5901024838,昶青藥局,台北市大安區濟南路3段22之1號,(02)27515678,0,98,2020/02/13 17:58:35
5901024856,杏一台北國泰藥局,台北市大安區仁愛路4段266巷15弄4號,(02)27011785,96,122,2020/02/13 17:58:35
5901024865,沛林東區生活藥粧藥局,台北市大安區敦化南路1段187巷17號,(02)27763759,0,162,2020/02/13 17:58:35
5901024874,奇異果大安藥局,台北市大安區大安路1段190號,(02)23250891,0,16,2020/02/13 17:58:35
5901024883,躍獅敦和藥局,台北市大安區和平東路3段10號,(02)23785767,2,0,2020/02/13 17:58:35
5901024892,太醫藥局,台北市大安區師大路12號,(02)23685125,0,88,2020/02/13 17:58:35
5901024909,康維健保藥局,台北市大安區敦化南路1段329巷15號,(02)27000120,0,112,2020/02/13 17:58:35
5901024918,康祥藥局,台北市大安區忠孝東路4段216巷21號,(02)27817891,14,16,2020/02/13 17:58:35
5901090074,慈仁藥局,台北市大同區歸綏街261號1樓,(02)25572733,0,84,2020/02/13 17:58:35
5901090127,三銘大藥局,台北市大同區迪化街1段80號,(02)25583392,0,86,2020/02/13 17:58:35
5901090154,柯藥局,台北市大同區重慶北路3段335巷6號,(02)25948515,4,18,2020/02/13 17:58:35
5901090181,時春藥局,台北市大同區赤峰街4號,(02)25597918,0,10,2020/02/13 17:58:35
5901090216,裕仁藥局,台北市大同區迪化街2段270號－1,(02)25910064,0,178,2020/02/13 17:58:35
5901090243,建祥藥局,台北市大同區寧夏路17號、17－1號,(02)25556476,0,50,2020/02/13 17:58:35
5901090289,正利民藥局,台北市大同區延平北路3段105號,(02)25924842,0,36,2020/02/13 17:58:35
5901090323,泰元藥局,台北市大同區哈密街91號,(02)25914592,0,80,2020/02/13 17:58:35
5901090369,保慶藥局,台北市大同區保安街21號,(02)25538988,0,10,2020/02/13 17:58:35
5901091473,快安藥局,台北市大同區南京西路282、284號,(02)25561925,6,43,2020/02/13 17:58:35
5901091544,得意藥師藥局,台北市大同區延平北路2段229號,(02)25534294,0,104,2020/02/13 17:58:35
5901091624,健康美藥局,台北市大同區民族西路165號,(02)25976707,0,48,2020/02/13 17:58:35
5901091688,宏泰藥師藥局,台北市大同區酒泉街131號,(02)25957025,0,72,2020/02/13 17:58:35
5901091759,儷安藥局,台北市大同區錦西街53巷16號,(02)25578033,14,30,2020/02/13 17:58:35
5901091820,富康藥局,台北市大同區延平北路2段126號,(02)25537782,0,6,2020/02/13 17:58:35
5901091839,春鄰藥局,台北市大同區長安西路35號,(02)25492000,0,52,2020/02/13 17:58:35
5901091857,佳禾藥局,台北市大同區大龍街262號,(02)25953806,0,16,2020/02/13 17:58:35
5901091884,躍獅雙蓮藥局,台北市大同區涼州街4號,(02)25537551,10,54,2020/02/13 17:58:35
5901091973,延平新聖安藥局,台北市大同區延平北路3段35號,(02)25923399,0,109,2020/02/13 17:58:35
5901091991,德芳藥局,台北市大同區民生西路91號,(02)25576869,2,30,2020/02/13 17:58:35
5901092014,旭豐藥局,台北市大同區昌吉街96號,(02)25853880,202,98,2020/02/13 17:58:35
5901092041,酒泉春天藥局,台北市大同區酒泉街94號、94號2樓,(02)25977932,0,90,2020/02/13 17:58:35
5901092050,中興聯合藥局,台北市大同區鄭州路127號（實際營業地址：1樓）,(02)25502952,2,62,2020/02/13 17:58:35
5901092069,躍獅遠東藥局,台北市大同區南京西路374號（實際營業地址：1樓）,(02)25594835,36,108,2020/02/13 17:58:35
5901092078,大同民生藥局,台北市大同區民生西路128，130號,(02)25558886,8,118,2020/02/13 17:58:35
5901100057,百源堂大藥局,台北市中山區長安東路2段47－5號,(02)25364362,0,8,2020/02/13 17:58:35
5901100066,名祥藥局,台北市中山區龍江路166號,(02)25036265,2,144,2020/02/13 17:58:35
5901100155,大信藥局,台北市中山區林森北路159巷6號,(02)25719080,0,202,2020/02/13 17:58:35
5901100244,定好大藥局,台北市中山區農安街125巷34號,(02)25946788,0,75,2020/02/13 17:58:35
5901100333,明美藥局,台北市中山區長春路69號,(02)25365419,11,115,2020/02/13 17:58:35
5901100342,順泰藥局,台北市中山區錦州街266號,(02)25038916,0,148,2020/02/13 17:58:35
5901100422,滿順藥局,台北市中山區伊通街54號1樓,(02)25075283,0,2,2020/02/13 17:58:35
5901100431,長生藥局,台北市中山區松江路362巷55號1樓,(02)25816210,3,114,2020/02/13 17:58:35
5901100440,優豐藥局,台北市中山區民生東路1段32號,(02)25602565,99,90,2020/02/13 17:58:35
5901100495,能康藥局,台北市中山區長春路46號,(02)25429426,0,20,2020/02/13 17:58:35
5901100628,貢玄藥局,台北市中山區錦州街207號,(02)25637847,0,102,2020/02/13 17:58:35
5901100664,阿里藥局,台北市中山區錦州街251號,(02)25020638,20,154,2020/02/13 17:58:35
5901100717,榮昌藥局,台北市中山區雙城街17－3號,(02)25964593,0,116,2020/02/13 17:58:35
5901100771,良佑藥局,台北市中山區撫順街6－2號1樓,(02)25916402,0,72,2020/02/13 17:58:35
5901100799,立大藥局,台北市中山區吉林路144巷14號,(02)25313844,0,128,2020/02/13 17:58:35
5901100959,武璋大藥局,台北市中山區伊通街97號之2,(02)25072026,0,47,2020/02/13 17:58:35
5901101072,長青藥局,台北市中山區興安街55號1樓,(02)25053160,6,92,2020/02/13 17:58:35
5901101161,晏晟藥局,台北市中山區林森北路625號,(02)25851445,2,0,2020/02/13 17:58:35
5901101205,大直藥局,台北市中山區北安路617號1樓,(02)25320522,0,4,2020/02/13 17:58:35
5901101250,美日藥局,台北市中山區天津街66號1樓,(02)25631662,2,94,2020/02/13 17:58:35
5901101321,文德藥局,台北市中山區龍江路356巷19號1樓,(02)25181178,0,178,2020/02/13 17:58:35
5901101509,永直藥局,台北市中山區北安路595巷2弄6號,(02)85098059,0,118,2020/02/13 17:58:35
5901101536,展佑藥局,台北市中山區長春路146－1號,(02)25232803,4,0,2020/02/13 17:58:35
5901101607,蓁榛健康生活藥局,台北市中山區合江街100－2號1樓,(02)25099333,0,106,2020/02/13 17:58:35
5901101625,中崙藥局,台北市中山區八德路2段307號,(02)27114971,0,36,2020/02/13 17:58:35
5901101652,祥泰藥局,台北市中山區林森北路136號,(02)25313097,0,186,2020/02/13 17:58:35
5901101910,嘉恩藥局,台北市中山區錦州街321號,(02)25181418,0,84,2020/02/13 17:58:35
